City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Riverton,40.5219,-111.9391,65.82,65,90,1.99,US,1633660774
Lima,-12.0432,-77.0282,63.9,81,75,13.8,PE,1633660768
Ucluelet,48.9329,-125.5528,51.1,84,100,4.23,CA,1633660691
Garmsār,35.2182,52.3409,60.78,51,0,3.74,IR,1633660914
Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,49.21,59,58,14.18,RU,1633660916
Port Moresby,-9.4431,147.1797,89.02,66,75,11.5,PG,1633660918
Tynda,55.1667,124.7167,37.89,59,72,2.59,RU,1633660920
Severnoye,56.3491,78.3619,39.85,88,100,8.1,RU,1633660922
Grand-Santi,4.25,-54.3833,73.53,96,100,3.91,GF,1633660924
Los Llanos de Aridane,28.6585,-17.9182,69.55,84,75,10.36,ES,1633660926
Zhigansk,66.7697,123.3711,25.07,77,60,12.77,RU,1633660928
Erdenet,49.0333,104.0833,39.76,57,100,3.74,MN,1633660930
Massakory,12.996,15.7293,82.22,18,23,8.81,TD,1633660932
Eyl,7.9803,49.8164,77.5,77,95,13.2,SO,1633660934
Necochea,-38.5473,-58.7368,42.04,77,0,9.24,AR,1633660810
Saysain,14.5611,120.3925,89.15,69,81,3.42,PH,1633660938
Evensk,61.95,159.2333,29.71,42,61,2.21,RU,1633660940
Saint Anthony,45.0205,-93.218,66.52,86,90,3.44,US,1633660942
Mahibadhoo,3.7833,72.9667,82.99,76,58,14.47,MV,1633660944
Oodweyne,9.4092,45.064,73.02,64,53,5.08,SO,1633660946
Iwanai,42.9744,140.5089,61.7,55,0,7.63,JP,1633660948
Pangnirtung,66.1451,-65.7125,33.76,84,40,1.07,CA,1633660950
Margate,51.3813,1.3862,60.66,93,100,7.63,GB,1633660952
Zlobin,45.2924,14.6541,52.9,63,40,5.75,HR,1633660954
Nyaunglebin,17.95,96.7333,83.88,81,73,1.72,MM,1633660956
Sørland,67.667,12.6934,43.88,70,100,23.67,NO,1633660950
Kidal,18.4411,1.4078,81.57,16,22,10.8,ML,1633660960
Demir Hisar,41.2217,21.2031,50.2,98,100,2.39,MK,1633660962
Bogovarovo,58.9785,47.0246,35.44,91,5,7.61,RU,1633660964
San Lorenzo,-25.3333,-57.5333,74.59,83,90,5.01,PY,1633660966
Baruun-Urt,46.6806,113.2792,54.66,42,43,12.21,MN,1633660968
Nosivka,50.9315,31.5828,36.73,55,59,7.63,UA,1633660970
Deputatsky,69.3,139.9,23.52,68,100,6.78,RU,1633660972
Shingū,33.7333,135.9833,79.79,63,85,4.07,JP,1633660755
Acaraú,-2.8856,-40.12,78.35,86,100,10.16,BR,1633660683
San Blas,21.5167,-105.2667,81.3,86,3,3.02,MX,1633660978
Qaqortoq,60.7167,-46.0333,43.3,51,100,6.96,GL,1633660980
Vila do Maio,15.1333,-23.2167,79.59,80,22,9.28,CV,1633660982
Shupīyan,33.7167,74.8333,59.61,28,0,2.26,IN,1633660984
Chui,-33.6971,-53.4616,46.92,80,4,5.28,UY,1633660851
Etchoropo,26.7667,-109.6667,87.33,45,4,16.04,MX,1633660987
Isla Mujeres,21.2311,-86.731,80.17,80,95,8.7,MX,1633660989
Ivankiv,50.9386,29.8943,38.55,62,7,6.67,UA,1633660991
Makīnsk,52.6292,70.4169,31.71,80,14,7.99,KZ,1633660993
Udachny,66.4167,112.4,26.01,72,85,11.41,RU,1633660995
Esperance,-33.8667,121.9,62.44,54,94,16.51,AU,1633660997
Kahului,20.8947,-156.47,84.22,66,40,23.02,US,1633660855
Caucayá,-0.1934,-74.7819,70.9,95,47,1.16,CO,1633661001
Geraldton,-28.7667,114.6,68.41,60,75,14.97,AU,1633661003
Seoul,37.5683,126.9778,67.6,85,90,2.3,KR,1633660938
Ustka,54.5805,16.8619,53.67,72,99,6.13,PL,1633661007
Tommot,58.9564,126.2925,37.18,83,100,11.72,RU,1633661009
Tabas,33.5959,56.9244,68.05,22,4,9.95,IR,1633661011
Chigorodó,7.6664,-76.6811,74.23,98,100,4.05,CO,1633661013
Lālmohan,22.3384,90.7419,85.95,68,57,3.49,BD,1633661014
Pangody,65.85,74.4859,42.37,91,100,12.59,RU,1633661016
Yeppoon,-23.1333,150.7333,87.58,50,23,9.84,AU,1633661018
Shemgang,27.2169,90.6579,68.14,70,57,2.98,BT,1633661020
Wainwright,52.839,-110.8572,44.51,50,14,8.5,CA,1633661022
Daru,-9.0763,143.2092,81.72,85,92,13.06,PG,1633661024
Tegul'det,57.3064,88.1667,37.8,98,100,7.52,RU,1633661026
Strai,58.2,7.9,56.62,88,90,6.91,NO,1633661028
Coahuayana Viejo,18.7333,-103.6833,85.48,85,63,1.77,MX,1633661030
Fort Nelson,58.8053,-122.7002,42.39,52,75,3.44,CA,1633661032
Palmer,42.1584,-72.3287,59.9,93,1,0.0,US,1633661011
Aksay,47.26,39.87,38.19,60,10,15.12,RU,1633661035
Nantucket,41.2835,-70.0995,63.97,82,1,6.91,US,1633660807
Tahoua,14.8888,5.2692,83.34,29,93,2.84,NE,1633661039
Tsumeb,-19.2333,17.7167,71.15,14,32,15.9,NA,1633661041
Fenoarivo,-18.933,47.4354,57.27,88,75,9.22,MG,1633661043
Luau,-10.7073,22.2247,67.44,53,87,0.96,AO,1633661045
Manthani,18.65,79.6667,81.36,82,19,1.36,IN,1633661047
Taltal,-25.4,-70.4833,57.18,82,100,4.29,CL,1633661049
Ambon City,-3.6954,128.1814,86.14,84,40,3.44,ID,1633661051
Waitati,-45.75,170.5667,59.72,62,38,5.39,NZ,1633661053
Ust-Kuyga,70.0167,135.6,29.75,68,100,15.88,RU,1633661055
Launceston,-41.45,147.1667,60.44,73,90,10.0,AU,1633661056
Ayagoz,47.9714,80.4392,32.52,58,13,1.81,KZ,1633660880
Acapulco de Juárez,16.8634,-99.8901,84.02,84,75,5.75,MX,1633660913
Barra de Tecoanapa,16.5167,-98.75,80.53,82,84,4.61,MX,1633661062
Apastovo,55.2029,48.5109,28.71,79,8,3.22,RU,1633661064
Mabamba,-3.5983,30.5019,66.16,55,58,2.59,TZ,1633661066
Pontianak,-0.0333,109.3333,85.98,78,20,11.5,ID,1633661046
Cherskiy,68.75,161.3,12.22,93,31,1.77,RU,1633660798
Shahreza,32.0339,51.8794,60.28,34,0,1.9,IR,1633661071
Lagos,6.5833,3.75,77.32,93,84,1.32,NG,1633660983
Pacific Grove,36.6177,-121.9166,60.03,79,75,5.99,US,1633661075
Omsukchan,62.5333,155.8,18.73,80,83,1.92,RU,1633661077
Iskateley,67.6803,53.1512,46.99,88,100,28.07,RU,1633661078
Harper,4.375,-7.7169,77.02,88,100,5.61,LR,1633661081
Nikol'sk,53.7189,46.0712,33.84,81,4,2.33,RU,1633661082
Sinnamary,5.3833,-52.95,80.51,80,27,11.65,GF,1633661084
Dzhebariki-Khaya,62.2167,135.8,33.73,79,96,8.97,RU,1633661087
Cockburn Town,21.4612,-71.1419,83.1,75,3,17.67,TC,1633661089
Livingston,55.9029,-3.5226,61.12,88,100,9.08,GB,1633661091
Ndélé,8.4109,20.6473,70.81,95,38,2.13,CF,1633661093
Codrington,-38.2667,141.9667,62.82,54,100,17.22,AU,1633661095
Asău,46.4333,26.4,39.76,71,99,4.34,RO,1633661097
Kutum,14.2,24.6667,72.39,24,68,6.89,SD,1633661099
Cam Ranh,11.9214,109.1591,85.96,62,20,6.91,VN,1633661101
Garoowe,8.4054,48.4845,78.58,60,97,13.71,SO,1633661104
Sarh,9.1429,18.3923,76.91,83,20,0.0,TD,1633661106
Guhāgar,17.4842,73.1929,80.22,88,97,8.05,IN,1633661108
Delaware,39.0004,-75.4999,66.96,94,1,3.44,US,1633660948
Vicuña,-30.0319,-70.7081,49.73,84,29,1.43,CL,1633661112
Guánica,17.9716,-66.908,81.25,86,89,1.01,PR,1633661114
Sikonge,-5.6333,32.7667,71.89,50,70,5.06,TZ,1633661116
Kumul,42.8,93.45,38.01,59,100,15.28,CN,1633661118
Isabela,6.7085,121.9711,86.05,67,100,6.2,PH,1633661120
Goderich,43.7501,-81.7165,66.9,88,100,4.61,CA,1633661123
Coffs Harbour,-30.3,153.1333,77.27,62,49,14.97,AU,1633661126
Bartica,6.4,-58.6167,75.52,98,48,1.88,GY,1633661127
São Desidério,-12.3633,-44.9733,76.23,35,14,3.53,BR,1633661129
Siniscola,40.5719,9.6922,65.75,78,100,18.9,IT,1633661131
Mogadishu,2.0371,45.3438,77.36,78,67,14.94,SO,1633661133
Peace River,56.2501,-117.286,37.71,64,20,12.66,CA,1633661118
Bonavista,48.6499,-53.1147,50.11,63,100,5.53,CA,1633661137
Yumen,40.2833,97.2,43.77,40,79,17.38,CN,1633661139
Āsosa,10.0667,34.5333,61.05,92,100,5.12,ET,1633661140
Broome,42.2506,-75.833,64.0,77,1,0.0,US,1633661142
Saint-Augustin,51.226,-58.6502,40.23,66,14,10.87,CA,1633661144
Santa Marta,11.2408,-74.199,84.25,79,20,6.91,CO,1633661146
Suntar,62.1444,117.6319,35.38,69,100,5.93,RU,1633661148
El Centro,32.792,-115.563,84.54,36,1,6.91,US,1633661150
Lorengau,-2.0226,147.2712,85.73,65,66,11.5,PG,1633661152
Nadym,65.5333,72.5167,43.59,90,100,15.19,RU,1633661153
Dingle,10.9995,122.6711,77.74,89,100,4.36,PH,1633661155
Santa Fe,-31.6333,-60.7,57.97,56,0,4.0,AR,1633660867
Avera,33.194,-82.5271,73.27,94,5,5.14,US,1633661159
Lerwick,60.1545,-1.1494,53.6,93,91,11.18,GB,1633661161
Marzuq,14.4,46.4667,74.21,60,29,2.33,YE,1633661162
Verkhoyansk,67.5447,133.385,35.8,43,100,16.55,RU,1633661164
Puerto Escondido,15.85,-97.0667,80.78,82,100,3.89,MX,1633661166
Tuatapere,-46.1333,167.6833,55.81,86,98,0.49,NZ,1633661168
Ferrol,43.4832,-8.2369,62.67,84,86,2.51,ES,1633661170
Vokhma,58.9303,46.7586,35.17,91,5,7.74,RU,1633661172
Östersund,63.1792,14.6357,45.61,87,90,14.97,SE,1633661174
Jambi City,-1.6,103.6167,82.49,77,98,3.78,ID,1633661176
Praia,14.9215,-23.5087,79.34,83,75,8.05,CV,1633661178
Wasilla,61.5814,-149.4394,47.43,81,40,0.0,US,1633660884
Lakatoro,-16.0999,167.4164,81.55,73,97,12.48,VU,1633661181
Dicabisagan,17.0818,122.4157,87.42,62,93,5.88,PH,1633661183
Penha,-26.7694,-48.6458,64.27,68,75,4.61,BR,1633661185
Saint-François,46.4154,3.9054,45.68,95,5,2.3,FR,1633661187
Port Macquarie,-31.4333,152.9167,74.37,60,79,9.89,AU,1633661005
Pimentel,-6.8367,-79.9342,63.5,88,42,16.28,PE,1633661190
Tekāri,24.9333,84.8333,82.62,72,65,6.22,IN,1633661192
Liberal,37.0431,-100.921,69.51,52,1,5.75,US,1633661194
Krasnosel'kup,65.7,82.4667,41.25,95,100,13.91,RU,1633661196
Tigre,-34.426,-58.5796,57.24,63,0,3.44,AR,1633661198
Lumphat,13.4878,106.9816,76.12,95,100,4.9,KH,1633661200
Imbituba,-28.24,-48.6703,63.82,80,34,4.25,BR,1633661021
Alanya,36.5438,31.9998,71.29,31,0,4.88,TR,1633661204
Inuvik,68.3499,-133.7218,31.06,83,40,4.61,CA,1633661143
Grootfontein,-19.5667,18.1167,69.37,23,18,2.3,NA,1633661208
Ekhabi,53.5102,142.9671,45.84,56,99,8.01,RU,1633661209
Purpe,64.4803,76.6897,42.26,91,100,13.65,RU,1633661212
Elizabeth City,36.2946,-76.2511,72.01,92,90,10.36,US,1633661213
Zandvoort,52.3749,4.5341,50.92,92,90,2.3,NL,1633661215
Manyana,-23.4,21.7167,63.52,29,3,8.01,BW,1633661217
Kita,13.0349,-9.4895,75.24,70,94,2.08,ML,1633661219
Hirara,24.8,125.2833,87.66,70,20,17.27,JP,1633661222
Kloulklubed,7.0419,134.2556,75.7,81,100,23.09,PW,1633661224
Sorong,-0.8833,131.25,85.75,69,67,6.46,ID,1633661226
Porto Walter,-8.2686,-72.7439,74.26,83,78,1.21,BR,1633661228
Pembroke Pines,26.0032,-80.2239,84.97,80,40,8.05,US,1633661232
Sītāmarhi,26.6,85.4833,84.31,70,0,3.2,IN,1633661234
Shizunai-furukawachō,42.3339,142.3669,62.38,61,22,11.01,JP,1633661223
Santa Maria,-29.6842,-53.8069,54.7,82,0,12.66,BR,1633661237
Dudinka,69.4058,86.1778,34.99,99,100,9.35,RU,1633661240
Qom,34.6401,50.8764,54.52,57,0,6.96,IR,1633661242
Strezhevoy,60.7333,77.5889,39.18,90,99,10.89,RU,1633661244
Talcahuano,-36.7167,-73.1167,51.48,93,40,2.3,CL,1633661118
Kabansk,52.0486,106.6528,39.69,70,99,5.37,RU,1633661250
